,Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
0,The Rapid Proton Process Ashes from Stable Nuclear Burning on an Accreting Neutron Star,1999,"Schatz, Hendrik",4,222,60,1999ApJ...524.1014S
1,Multipressure Polytropes as Models for the Structure and Stability of Molecular Clouds. I. Theory,1999,"McKee, Christopher F.",2,65,19,1999ApJ...522..313M
2,Extended Emission Line Gas in Radio Galaxies: PKS 0349-27,1999,"Grimberg, B. I.",3,4,2,1999ApJ...521..121G
3,Constructing a Mass-Current Radiation-Reaction Force for Numerical Simulations,1999,"Rezzolla, Luciano",5,31,22,1999ApJ...525..935R
4,Mid-Infrared Spectra of Late-Type Stars: Long-Term Evolution,1999,"Monnier, J. D.",3,18,9,1999ApJ...521..261M
5,Magnetic Reconnection Solutions in the Presence of Multiple Nulls,1999,"Craig, I. J. D.",4,20,8,1999ApJ...523..838C
6,The Evolution of Dust Opacity in Galaxies,1999,"Calzetti, Daniela",2,88,51,1999ApJ...519...27C
7,Extended Red Emission from Carbon Clusters in Interstellar Clouds,1999,"Seahra, S. S.",2,49,25,1999ApJ...520..719S
8,An X-Ray Spectral Survey of Radio-loud Active Galactic Nuclei with ASCA,1999,"Sambruna, Rita M.",3,209,95,1999ApJ...526...60S
9,Collision Strengths for Electron Collision Excitation of Fine-Structure Levels in S III,1999,"Tayal, S. S.",2,112,16,1999ApJ...526..544T
10,Multiple Components in the Millimeter Emission of a Solar Flare,1999,"Raulin, J. -P.",5,41,15,1999ApJ...522..547R
11,The Sunyaev-Zeldovich Effect by Cocoons of Radio Galaxies,1999,"Yamada, Masako",3,36,12,1999ApJ...522...66Y
12,The Hubble Space Telescope Survey of BL Lacertae Objects: Gravitational Lens Candidates and Other Unusual Sources,1999,"Scarpa, Riccardo",7,44,24,1999ApJ...521..134S
13,Fragmentation of Relativistic Gold Nuclei with Energies between 0.92 and 4.0 A GEV in Hydrogen,1999,"Waddington, C. J.",4,5,4,1999ApJ...519..214W
14,The Surface Density of Extremely Red Objects,1999,"Thompson, D.",13,117,86,1999ApJ...523..100T
15,Stromgren Spheres,1999,"O'Dell, C. R.",1,0,0,1999ApJ...525C.321O
16,Multiwavelength Observations of GX 339-4 in 1996. II. Rapid X-Ray Variability,1999,"Smith, I. A.",2,13,12,1999ApJ...519..771S
17,Dust Absorption and the Ultraviolet Luminosity Density at z ~ 3 as Calibrated by Local Starburst Galaxies,1999,"Meurer, Gerhardt R.",3,1039,160,1999ApJ...521...64M
18,Determination of the Abundances of Subcoronal <SUP>4</SUP>He and of Solar Flare-accelerated <SUP>3</SUP>He and <SUP>4</SUP>He from Gamma-Ray Spectroscopy,1999,"Mandzhavidze, Natalie",3,60,25,1999ApJ...518..918M
19,Star Formation in the Giant H II Regions of M101,1999,"Giannakopoulou-Creighton, Jean",3,8,3,1999ApJ...522..238G
20,Phenomena in an Emerging Active Region. II. Properties of the Dynamic Small-Scale Structure,1999,"Strous, Louis H.",2,94,10,1999ApJ...527..435S
21,Prospects for the Determination of Star Orbits near the Galactic Center,1999,"JaroszyŃski, M.",1,15,6,1999ApJ...521..591J
22,"Clayton, Colgat, &amp; Fishman's Determination of Gamma-Ray Lines From Supernova Remnants",1999,"Clayton, Donald D.",1,0,0,1999ApJ...525C1177C
23,Babcock's Solar Magnetograph,1999,"Livingston, William",1,0,0,1999ApJ...525C.537L
24,Searching for Signal in Noise by Random-Lag Singular Spectrum Analysis,1999,"Varadi, F.",5,14,7,1999ApJ...526.1052V
25,On Photospheric Fluorescence and the Nature of the 17.62 Å Feature in Solar X-Ray Spectra,1999,"Drake, Jeremy J.",5,25,4,1999ApJ...521..839D
26,Twin Peak Separation in Sources with Kilohertz Quasi-periodic Oscillations Caused by Orbital Motion,1999,"Karas, Vladimír",1,20,4,1999ApJ...526..953K
27,Bar and Disk Formation in Gravitationally Collapsing Clouds: Implications for Binary Formation,1999,"Matsumoto, Tomoaki",2,24,12,1999ApJ...521..659M
28,Erratum: Resonant Tides in Close Orbiting Planets,1999,"Lubow, S. H.",3,0,0,1999ApJ...517.1059L
29,Unstable Coronal Loops: Numerical Simulations with Predicted Observational Signatures,1999,"Arber, T. D.",3,35,15,1999ApJ...517..990A
30,"Fabricant, Lecar, &amp; Gorenstein's X-Ray Measurementss of the Mass of M87",1999,"Jones, C.",1,0,0,1999ApJ...525C1234J
31,The Dynamics and Light Curves of Beamed Gamma-Ray Burst Afterglows,1999,"Rhoads, James E.",1,784,254,1999ApJ...525..737R
32,The Quiescent Accretion Disk in IP Pegasi at Near-Infrared Wavelengths,1999,"Froning, C. S.",4,16,10,1999ApJ...523..399F
33,"Hubble Space Telescope Observations of the Optical Jets of PKS 0521-365, 3C 371, and PKS 2201+044",1999,"Scarpa, Riccardo",4,44,22,1999ApJ...526..643S
34,Spatial Variability in the Ratio of Interstellar Atomic Deuterium to Hydrogen. I. Observations toward δ Orionis by the Interstellar Medium Absorption Profile Spectrograph,1999,"Jenkins, Edward B.",5,93,55,1999ApJ...520..182J
35,A Rossi X-Ray Timing Explorer Observation of the VELA Pulsar: Filling in the X-Ray Gap,1999,"Strickman, M. S.",3,36,27,1999ApJ...524..373S
36,Laboratory Measurements of Fe XXIV Line Emission: 3--&gt;2 Transitions near Excitation Threshold,1999,"Gu, M. F.",9,35,18,1999ApJ...518.1002G
