Title,Year,First Author,Author Count,Citation Count,Bibcode
The Spite Lithium Plateau: Ultrathin but Postprimordial,1999,"Ryan, Sean G.",3,303,1999ApJ...523..654R
Slim Disks around a Weakly Magnetized Neutron Star,1999,"Lee, Umin",1,2,1999ApJ...525..386L
The Effect of Intrinsic Ultraviolet Absorbers on the Ionizing Continuum and Narrow Emission Line Ratios in Seyfert Galaxies,1999,"Kraemer, S. B.",4,19,1999ApJ...519...69K
ERRATUM: Comparison between Multisphere Light-scattering Calculations: Rigorous Solution and Discrete Dipole Approximation,1999,"Xu, Yu-lin",2,3,1999ApJ...522.1206X
Deconvolution of Directly Precipitating and Trap-precipitating Electrons in Solar Flare Hard X-Rays. III.Yohkoh Hard X-Ray Telescope Data Analysis,1999,"Aschwanden, Markus J.",5,52,1999ApJ...517..977A
Excitation of Oscillations in Photospheric Flux Tubes through Buffeting by External Granules,1999,"Hasan, S. S.",2,77,1999ApJ...519..899H
Hard X-Ray Lags in GRO J1719-24,1999,"van der Hooft, F.",10,6,1999ApJ...519..332V
Hubble &amp; Humason's Evaluation of the Cosmological Expansion,1999,"Sandage, Allan",1,0,1999ApJ...525C.252S
The Brera Multiscale Wavelet ROSAT HRI Source Catalog. II. Application to the HRI and First Results,1999,"Campana, Sergio",4,28,1999ApJ...524..423C
The Core Structure of Galaxy Clusters from Gravitational Lensing,1999,"Williams, Liliya L. R.",3,67,1999ApJ...527..535W
On the High-Velocity Ejecta of the Type IA Supernova SN 1994D,1999,"Hatano, Kazuhito",5,72,1999ApJ...525..881H
Lyman-Break Galaxies at z&gt;~4 and the Evolution of the Ultraviolet Luminosity Density at High Redshift,1999,"Steidel, Charles C.",5,1547,1999ApJ...519....1S
The Triple Pulsar System PSR B1620-26 in M4,1999,"Thorsett, S. E.",4,115,1999ApJ...523..763T
The Brera Multiscale Wavelet ROSAT HRI Source Catalog. I. The Algorithm,1999,"Lazzati, Davide",5,38,1999ApJ...524..414L
Evidence for Non-Maxwellian Electron Energy Distributions in the Solar Transition Region: Si III Line Ratios from SUMER,1999,"Pinfield, D. J.",6,61,1999ApJ...527.1000P
The Distribution of Absorbing Column Densities among Seyfert 2 Galaxies,1999,"Risaliti, G.",3,530,1999ApJ...522..157R
Eulerian Perturbative Approximations in Planar Symmetry,1999,"Raposo, A. P.",3,0,1999ApJ...523...16R
Magnetic Fields in Molecular Clouds: Observations Confront Theory,1999,"Crutcher, Richard M.",1,825,1999ApJ...520..706C
